[Wed Oct 07 18:00:42.285314 2020] [php7:error] [pid 26017] [client 127.0.0.1:36032] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/index.php?r=gii%2Fdefault%2Fview&id=crud
[Wed Oct 07 18:00:44.665628 2020] [php7:error] [pid 26016] [client 127.0.0.1:36030] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/index.php?r=gii%2Fdefault%2Fview&id=crud
[Wed Oct 07 18:00:45.611120 2020] [php7:error] [pid 26017] [client 127.0.0.1:36032] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:00:47.410043 2020] [php7:error] [pid 26017] [client 127.0.0.1:36032] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:00:48.392823 2020] [php7:error] [pid 26017] [client 127.0.0.1:36032] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:00:49.731725 2020] [php7:error] [pid 26017] [client 127.0.0.1:36032] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:00:50.666746 2020] [php7:error] [pid 26017] [client 127.0.0.1:36032] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:00:51.117496 2020] [php7:error] [pid 26017] [client 127.0.0.1:36032] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:00:51.658971 2020] [php7:error] [pid 26017] [client 127.0.0.1:36032] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:00:52.381955 2020] [php7:error] [pid 26017] [client 127.0.0.1:36032] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:00:53.033601 2020] [php7:error] [pid 26017] [client 127.0.0.1:36032] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:01:12.261648 2020] [php7:error] [pid 26029] [client 127.0.0.1:36042] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:01:16.819104 2020] [php7:error] [pid 26029] [client 127.0.0.1:36042] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:01:23.213780 2020] [php7:error] [pid 26033] [client 127.0.0.1:36050] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:01:24.699225 2020] [php7:error] [pid 26033] [client 127.0.0.1:36050] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:01:25.393792 2020] [php7:error] [pid 26033] [client 127.0.0.1:36050] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:01:26.265105 2020] [php7:error] [pid 26033] [client 127.0.0.1:36050] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:01:27.131108 2020] [php7:error] [pid 26033] [client 127.0.0.1:36050] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:01:30.422488 2020] [php7:error] [pid 26033] [client 127.0.0.1:36050] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/index.php?r=gii
[Wed Oct 07 18:01:32.985737 2020] [php7:error] [pid 26033] [client 127.0.0.1:36050] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/index.php?r=gii
